Player,Position,Country,Team,Signing_Bonus,Position_Group,Bonus_Tier
Jhon Simon,INF,Dominican Republic,,497500,Infield,Under $500K
Meykel Baro,INF,Cuba,,497500,Infield,Under $500K
Isais Chavez,C,Venezuela,,480000,Catcher,Under $500K
Anthony Millán,OF,Venezuela,,472500,Outfield,Under $500K
Gustavo Baptista,C,Venezuela,,450000,Catcher,Under $500K
Rony Bello,INF,Dominican Republic,,450000,Infield,Under $500K
Yeferson Portolatin,SS,Dominican Republic,,450000,Infield,Under $500K
Angel Carmona,INF,Venezuela,,447500,Infield,Under $500K
Anderson Diaz,LHP,Venezuela,,447500,Pitcher,Under $500K
Juan Rojas,SS,Dominican Republic,,447500,Infield,Under $500K
Geremy Villoria,RHP,Venezuela,,425000,Pitcher,Under $500K
Brian Tiburco,RHP,Dominican Republic,,425000,Pitcher,Under $500K
Jose Barrios,INF,Venezuela,,422500,Infield,Under $500K
Yoslaniel Hernandez,LHP,Dominican Republic,,400000,Pitcher,Under $500K
Carlos Bello,SS,Dominican Republic,,400000,Infield,Under $500K
Esnaider Vargas,INF,Dominican Republic,,400000,Infield,Under $500K
Jose Riera,SS,Venezuela,,400000,Infield,Under $500K
Adrian Pena,RHP,Dominican Republic,,400000,Pitcher,Under $500K
Yordan Rodriguez,RHP,Cuba,,400000,Pitcher,Under $500K
Yojancel Cabrera,SS,Dominican Republic,,400000,Infield,Under $500K
Jose Santana,SS,Dominican Republic,,400000,Infield,Under $500K
Pedro Núñez,RHP,Dominican Republic,,400000,Pitcher,Under $500K
Marconi German,INF,Dominican Republic,,400000,Infield,Under $500K
Joyner Perez,OF,Dominican Republic,,397500,Outfield,Under $500K
Jhonger Ochoa,INF,Venezuela,,397500,Infield,Under $500K
Emil Martinez,SS,Dominican Republic,,397500,Infield,Under $500K
Ronald Terrero,INF,Cuba,,397500,Infield,Under $500K
Oliver Guerrero,OF,Dominican Republic,,397500,Outfield,Under $500K
Luis Tovar,INF,Venezuela,,397500,Infield,Under $500K
Omar Damian,RHP,Dominican Republic,,397500,Pitcher,Under $500K
Luis King,OF,Dominican Republic,,388500,Outfield,Under $500K
Angel De Los Santos,INF,Dominican Republic,,387500,Infield,Under $500K
Yeison Acosta,C,Cuba,,372500,Catcher,Under $500K
Adrian Torres,LHP,Panama,,362500,Pitcher,Under $500K
Jefrank Silva,INF,Venezuela,,350000,Infield,Under $500K
Cesar Familia,RHP,Dominican Republic,,350000,Pitcher,Under $500K
Alan Escobar,OF,Venezuela,,350000,Outfield,Under $500K
Christopher Cordero,RHP,Dominican Republic,,350000,Pitcher,Under $500K
Jealmy Frias,INF,Dominican Republic,,350000,Infield,Under $500K
Melky Ventura,RHP,Dominican Republic,,350000,Pitcher,Under $500K
Leonardo Carpio,OF,Venezuela,,350000,Outfield,Under $500K
Brainerh Palacios,C,Venezuela,,350000,Catcher,Under $500K
Cesar Paredes,SS,Dominican Republic,,350000,Infield,Under $500K
Alexander Frias,OF,Dominican Republic,,350000,Outfield,Under $500K
Daniel Gomez,RHP,Venezuela,,350000,Pitcher,Under $500K
Gerlyn Payano,OF,Dominican Republic,,350000,Outfield,Under $500K
Jonierbis Garces,OF,Venezuela,,350000,Outfield,Under $500K
Santiago Martinez,SS,Venezuela,,347500,Infield,Under $500K
Johan Machado,INF,Venezuela,,330000,Infield,Under $500K
Jhomnardo Reyes,OF,Dominican Republic,,322500,Outfield,Under $500K
Luis Galan,SS,Dominican Republic,,320000,Infield,Under $500K
Feliz Genao,3B,Dominican Republic,,300000,Infield,Under $500K
Victor Santana,3B,Dominican Republic,,300000,Infield,Under $500K
Yostin Pena,OF,Dominican Republic,,300000,Outfield,Under $500K
Eryks Rivero,OF,Venezuela,,300000,Outfield,Under $500K
Junior Suriel,OF,Dominican Republic,,300000,Outfield,Under $500K
Yelinson Betances,OF,Dominican Republic,,300000,Outfield,Under $500K
Albert Morel,RHP,Dominican Republic,,300000,Pitcher,Under $500K
Eybert Sanchez,SS,Venezuela,,300000,Infield,Under $500K
Emile Torres,OF,Dominican Republic,,300000,Outfield,Under $500K
Edgardo Figueroa,C,Venezuela,,300000,Catcher,Under $500K
Dayber Cruceta,OF,Dominican Republic,,300000,Outfield,Under $500K
Adrian Valdez,OF,Dominican Republic,,300000,Outfield,Under $500K
Yordani Soto,INF,Dominican Republic,,300000,Infield,Under $500K
Jhonny Morao,RHP,Venezuela,,300000,Pitcher,Under $500K
Edison Charles,OF,Dominican Republic,,300000,Outfield,Under $500K
